episode,reward
120,-18.445186352082747
121,-19.93345517417361
122,-18.628965724046143
123,-17.93042366311112
124,-16.963335342134208
125,-19.140364101784428
126,-17.96194094228337
127,-17.308378689313482
128,-17.428373686128186
129,-17.96330380056706
130,-19.395553872344546
131,-18.22436389115785
132,-18.681055975530587
133,-17.299342389552304
134,-19.464170233284644
135,-20.23439621906246
136,-20.60116891763765
137,-18.000704776182438
138,-19.615812471358513
139,-18.596276582280883
140,-18.283094711580258
141,-19.34690028184428
142,-16.074639251228696
143,-20.321361927675607
144,-19.25615784580693
145,-21.123599027362047
146,-19.347862334304732
147,-16.929410390203717
148,-16.587878157573556
149,-20.528702336511277
150,-16.759163560813644
151,-20.70844097170647
152,-17.621936842288022
153,-18.959793705059063
154,-17.716354398692165
155,-18.449024602235855
156,-19.631619874805725
157,-16.769877370865547
158,-20.490910341376097
159,-17.143319003879668
160,-20.15201336624137
161,-19.676971694642692
162,-17.640679271675502
163,-17.60061814705594
164,-16.73561687288866
165,-19.890913640989403
166,-19.06408221117749
167,-19.474104570092067
168,-16.85148664956454
169,-18.05691997057107
170,-15.288767074111645
171,-15.899138998815786
172,-21.20346100150845
173,-19.50144446858178
174,-18.53970698194621
175,-17.91347176658077
176,-17.80391607467786
177,-17.28333716783183
178,-17.718979012890557
179,-19.988613898805745
180,-18.873542056992807
181,-20.0203094492082
182,-18.981039222455856
183,-18.69094706357639
184,-18.769895412564207
185,-21.25753341362623
186,-17.8756754217719
187,-17.532135398121305
188,-17.979407514043192
189,-15.840813027647009
190,-19.148004102107468
191,-17.81643769933482
192,-19.181129806874736
193,-16.963247341598684
194,-18.83740750106509
195,-18.568427031068428
196,-16.41727281758973
197,-18.55694311741744
198,-15.698317278804312
199,-19.413731056328675
200,-19.047577975125144
201,-18.08203249417399
202,-20.338703310769912
203,-16.999099040446332
204,-17.321677083197002
205,-17.563321263138416
206,-16.835337831377867
207,-19.093753144487422
208,-17.65771190734995
209,-17.7725567795176
210,-19.944498612981416
211,-18.00649620077733
212,-17.47045001032299
213,-19.94359312960197
214,-17.01543575424513
215,-16.81225822787362
216,-18.882938287026924
217,-15.849604189895233
218,-16.975983444285546
219,-17.51283709682246
220,-18.315860324797146
221,-19.44234205056855
222,-18.128257015884042
