episode,reward
142,-4.144887863967581
143,-15.950288351964199
144,-17.2928891867228
145,-32.672693238979676
146,-32.570216536959535
147,-3.2280957372895114
148,-2.3938272426304197
149,-32.25381397612315
150,-2.5953763241140493
151,-32.20882976887883
152,-12.609352184604752
153,-32.41088973808483
154,-15.737391184682055
155,-15.660652313194989
156,-26.42514233922506
157,-2.20415903536192
158,-25.989421738119646
159,-26.7321259139825
160,-31.72593670938911
161,-27.02086069374973
162,-23.276327487643766
163,-15.821045898959818
164,-17.04461558383891
165,-13.973381649725763
166,-30.597244188436004
167,-19.94559806392443
168,-2.817546885988459
169,-14.446143502106032
170,-2.739806695595975
171,-5.954995521912191
172,-2.7601544251104073
173,-31.533099489211875
174,-24.890604978728078
175,-28.044849257638038
176,-13.821248128170247
177,-27.81292543108782
178,-4.122681647902301
179,-32.512917094397665
180,-21.27238253643699
181,-26.69927722324117
182,-2.671755647624937
183,-10.361405268697451
184,-28.032085964954476
185,-18.629626502021537
186,-9.98015060331047
187,-2.8253217317982684
188,-19.8680851595141
189,-2.527166754594652
190,-14.694183080880032
191,-26.753610618544574
192,-27.617010395370613
193,-24.01597830081557
194,-11.747664717386732
195,-26.962589782599217
196,-2.3249942335371827
197,-11.168807076033131
198,-2.611903780571111
199,-17.152514092067467
200,-31.792491734534938
201,-19.396398253160772
202,-34.88592381387703
203,-13.228628804007025
204,-27.607392972469878
205,-19.15476010732791
206,-14.250064821094464
207,-31.569939456876856
208,-33.592689995641855
209,-14.349976753409553
210,-30.944066364528748
211,-12.45363208819845
212,-19.359119451634744
213,-30.174634501822318
214,-11.254546779194198
215,-23.251929429126207
216,-18.913209724445984
217,-2.3632083140168185
218,-2.233157813514331
219,-11.265881084182347
220,-31.603086148929464
221,-2.4719547122370904
222,-13.867572877119262
223,-17.667596484081127
224,-3.0764710749222433
225,-24.803625351012293
226,-16.428052535065312
227,-26.760380696308758
228,-25.510140983715335
229,-19.727014028291492
230,-2.558070278516064
231,-15.547213817188913
232,-27.639223148816633
233,-3.1915301666774667
234,-32.10524558713979
235,-15.390348575578745
236,-26.142551810060645
237,-26.92368639519242
238,-10.176978970336762
239,-16.89295115751909
240,-24.38945084399195
241,-2.9737309392510825
242,-21.246962971675075
243,-3.0621236359029114
244,-20.143368108155723
245,-19.65608906520214
246,-2.7684231178882173
247,-27.000059430285805
248,-14.42199460727618
249,-29.83998379683848
250,-2.5641638666743622
251,-2.466049471364635
252,-13.027141384245825
253,-2.497127114542139
254,-14.55659194995485
255,-19.812063278924423
256,-6.121245463247803
257,-20.189176219351705
258,-2.3032533265967494
259,-2.402839931208342
260,-21.95831238592548
261,-28.913167546770705
262,-2.4508561797974853
263,-11.321733212758915
264,-22.890369584059638
265,-23.54250924910199
266,-19.57096693276379
267,-10.729024047905696
268,-17.187520531729046
269,-27.797540911304964
270,-18.078229230538117
271,-10.166921068399878
272,-1.9404358437559035
273,-2.15282756225009
274,-25.222211407166622
275,-12.079447990821924
276,-15.60921554555192
277,-11.57173622761216
278,-22.275859155285517
279,-2.1031268184210874
280,-1.9414717600986946
281,-15.796430854106331
282,-11.17305475808966
283,-20.665935755711832
284,-11.215883770236559
285,-11.506290736352373
286,-26.69422920335367
287,-2.0904389036789293
288,-16.006834781623816
289,-20.04793691798384
290,-12.270775098224817
291,-19.69866062130306
292,-10.989746931834667
293,-24.828083481634913
294,-10.904950650934344
295,-17.854146110979183
296,-17.300058574747183
297,-19.289679399718782
298,-12.242088793983926
299,-10.828067577530426
300,-2.3465829598956804
